dataset	relpath	url	bytes	md5	drop
karlsson2013	PRJEB1786/ERR260143/ERR260143_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260143/ERR260143_1.fastq.gz	1288402149	47440259da7dbcca16335b6708b0e8c8	1
karlsson2013	PRJEB1786/ERR260143/ERR260143_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260143/ERR260143_2.fastq.gz	1284499958	4060b66a4a5929ae20c411d12e22c589	1
karlsson2013	PRJEB1786/ERR260145/ERR260145_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_1.fastq.gz	1283263288	a1282274c5d0fc8f8f3b78c67a0f3b8a	1
karlsson2013	PRJEB1786/ERR260145/ERR260145_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_2.fastq.gz	1279552231	ea619173ca5c99b48cfa53e6f9b8b0ff	1
karlsson2013	PRJEB1786/ERR260152/ERR260152_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260152/ERR260152_1.fastq.gz	795360832	b108ed429d13591b1f34346485043a5c	1
karlsson2013	PRJEB1786/ERR260152/ERR260152_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260152/ERR260152_2.fastq.gz	801917922	8c689d779891c72e90460ba3e771f736	1
karlsson2013	PRJEB1786/ERR260163/ERR260163_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_1.fastq.gz	1540858833	4c59d34386b43c5b24c64a0990c62e48	1
karlsson2013	PRJEB1786/ERR260163/ERR260163_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_2.fastq.gz	1516078909	bad1703f273a848fc4aad5efb15870aa	1
karlsson2013	PRJEB1786/ERR260164/ERR260164_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260164/ERR260164_1.fastq.gz	1697664641	08f273ab05d84092cf46ca05d510dcad	1
karlsson2013	PRJEB1786/ERR260164/ERR260164_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260164/ERR260164_2.fastq.gz	1673074914	5ebd2f5204fbd984a433b89191912b1d	1
